,symb,type,price,qty
0,ETHBRL,bids,24820.14,0.1578
1,ETHBRL,bids,24819.69,0.1469
2,ETHBRL,bids,24819.22,0.8287
3,ETHBRL,bids,24809.22,0.188
4,ETHBRL,bids,24805.33,0.5548
5,ETHBRL,bids,24802.06,0.4523
6,ETHBRL,bids,24801.0,0.8777
7,ETHBRL,bids,24786.95,6.6205
8,ETHBRL,bids,24786.94,0.23
9,ETHBRL,bids,24785.36,0.8991
10,ETHBRL,bids,24780.04,0.004
11,ETHBRL,bids,24776.9,0.42
12,ETHBRL,bids,24768.33,0.8964
13,ETHBRL,bids,24766.98,0.217
14,ETHBRL,bids,24760.57,0.0009
15,ETHBRL,bids,24757.6,0.87
16,ETHBRL,bids,24752.13,0.7365
17,ETHBRL,bids,24744.6,1.53
18,ETHBRL,bids,24734.09,0.0009
19,ETHBRL,bids,24726.6,0.0012
20,ETHBRL,bids,24724.53,4.9864
21,ETHBRL,bids,24707.65,0.0009
22,ETHBRL,bids,24700.28,0.1625
23,ETHBRL,bids,24700.0,0.8097
24,ETHBRL,bids,24694.82,4.1568
25,ETHBRL,bids,24681.24,0.0009
26,ETHBRL,bids,24676.79,7.65
27,ETHBRL,bids,24662.43,0.0035
28,ETHBRL,bids,24656.0,0.0008
29,ETHBRL,bids,24654.85,0.0009
30,ETHBRL,bids,24654.39,0.0005
31,ETHBRL,bids,24653.72,0.0012
32,ETHBRL,bids,24650.0,1.1328
33,ETHBRL,bids,24628.5,0.0009
34,ETHBRL,bids,24626.11,0.0008
35,ETHBRL,bids,24622.69,0.0006
36,ETHBRL,bids,24615.28,0.0543
37,ETHBRL,bids,24615.27,0.0117
38,ETHBRL,bids,24602.17,0.0009
39,ETHBRL,bids,24600.0,0.0114
40,ETHBRL,bids,24585.41,0.0227
41,ETHBRL,bids,24581.06,0.0012
42,ETHBRL,bids,24578.11,0.0011
43,ETHBRL,bids,24575.86,0.0009
44,ETHBRL,bids,24575.68,0.0406
45,ETHBRL,bids,24561.25,3.72
46,ETHBRL,bids,24549.59,0.0009
47,ETHBRL,bids,24523.35,0.0009
48,ETHBRL,bids,24508.61,0.0012
49,ETHBRL,bids,24500.27,0.0206
50,ETHBRL,bids,24500.0,0.6576
51,ETHBRL,bids,24497.13,0.0009
52,ETHBRL,bids,24493.16,0.0118
